Degree Name,Grad Year,ScriptNotes,Academic Unit,Unit URI,Final URI,Comment
Home Economics Education,1960,http://opaquenamespace.org/ns/osuAcademicUnits/gIMhxFCt,,,http://opaquenamespace.org/ns/osuAcademicUnits/gIMhxFCt,
Home Economics Education,1961,http://opaquenamespace.org/ns/osuAcademicUnits/gIMhxFCt,,,http://opaquenamespace.org/ns/osuAcademicUnits/gIMhxFCt,
Home Economics Education,1963,http://opaquenamespace.org/ns/osuAcademicUnits/gIMhxFCt,,,http://opaquenamespace.org/ns/osuAcademicUnits/gIMhxFCt,
Home Economics Education,1965,http://opaquenamespace.org/ns/osuAcademicUnits/gIMhxFCt,,,http://opaquenamespace.org/ns/osuAcademicUnits/gIMhxFCt,
Home Economics Education,1966,http://opaquenamespace.org/ns/osuAcademicUnits/gIMhxFCt,,,http://opaquenamespace.org/ns/osuAcademicUnits/gIMhxFCt,
Home Economics Education,1968,http://opaquenamespace.org/ns/osuAcademicUnits/gIMhxFCt,,,http://opaquenamespace.org/ns/osuAcademicUnits/gIMhxFCt,
Home Economics Education,1969,http://opaquenamespace.org/ns/osuAcademicUnits/gIMhxFCt,,,http://opaquenamespace.org/ns/osuAcademicUnits/gIMhxFCt,
Home Economics Education,1970,http://opaquenamespace.org/ns/osuAcademicUnits/gIMhxFCt,,,http://opaquenamespace.org/ns/osuAcademicUnits/gIMhxFCt,
Home Economics Education,1971,http://opaquenamespace.org/ns/osuAcademicUnits/gIMhxFCt,,,http://opaquenamespace.org/ns/osuAcademicUnits/gIMhxFCt,
Home Economics Education,1972,http://opaquenamespace.org/ns/osuAcademicUnits/gIMhxFCt,,,http://opaquenamespace.org/ns/osuAcademicUnits/gIMhxFCt,
Home Economics Education,1973,http://opaquenamespace.org/ns/osuAcademicUnits/gIMhxFCt,,,http://opaquenamespace.org/ns/osuAcademicUnits/gIMhxFCt,
Home Economics Education,1974,http://opaquenamespace.org/ns/osuAcademicUnits/gIMhxFCt,,,http://opaquenamespace.org/ns/osuAcademicUnits/gIMhxFCt,
Home Economics Education,1975,http://opaquenamespace.org/ns/osuAcademicUnits/gIMhxFCt,,,http://opaquenamespace.org/ns/osuAcademicUnits/gIMhxFCt,
Home Economics Education,1976,http://opaquenamespace.org/ns/osuAcademicUnits/gIMhxFCt,,,http://opaquenamespace.org/ns/osuAcademicUnits/gIMhxFCt,
Home Economics Education,1977,http://opaquenamespace.org/ns/osuAcademicUnits/gIMhxFCt,,,http://opaquenamespace.org/ns/osuAcademicUnits/gIMhxFCt,
Home Economics Education,1984,http://opaquenamespace.org/ns/osuAcademicUnits/gIMhxFCt,,,http://opaquenamespace.org/ns/osuAcademicUnits/gIMhxFCt,
Home Economics Education,1989,http://opaquenamespace.org/ns/osuAcademicUnits/gIMhxFCt,,,http://opaquenamespace.org/ns/osuAcademicUnits/gIMhxFCt,
Home Economics Extension,1952,NO URIS FOUND FOR THIS DEGREE AND YEAR,Home Economics Extension,http://opaquenamespace.org/ns/osuAcademicUnits/9ZkKo6jK,http://opaquenamespace.org/ns/osuAcademicUnits/9ZkKo6jK,
Home Management,1940,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Home Economics,http://opaquenamespace.org/ns/osuAcademicUnits/xPzqDTLJ,http://opaquenamespace.org/ns/osuAcademicUnits/xPzqDTLJ,
Home Management,1966,NO URIS FOUND FOR THIS DEGREE AND YEAR,School of Home Economics,http://opaquenamespace.org/ns/osuAcademicUnits/xPzqDTLJ,http://opaquenamespace.org/ns/osuAcademicUnits/xPzqDTLJ,
Home Management,1967,http://opaquenamespace.org/ns/osuAcademicUnits/KwAVBcYZ,,,http://opaquenamespace.org/ns/osuAcademicUnits/KwAVBcYZ,
Home Management,1968,http://opaquenamespace.org/ns/osuAcademicUnits/KwAVBcYZ,,,http://opaquenamespace.org/ns/osuAcademicUnits/KwAVBcYZ,
Home Management,1969,http://opaquenamespace.org/ns/osuAcademicUnits/KwAVBcYZ,,,http://opaquenamespace.org/ns/osuAcademicUnits/KwAVBcYZ,
Home Management,1970,http://opaquenamespace.org/ns/osuAcademicUnits/KwAVBcYZ,,,http://opaquenamespace.org/ns/osuAcademicUnits/KwAVBcYZ,
Home Management,1971,http://opaquenamespace.org/ns/osuAcademicUnits/KwAVBcYZ,,,http://opaquenamespace.org/ns/osuAcademicUnits/KwAVBcYZ,
Home Management,1972,http://opaquenamespace.org/ns/osuAcademicUnits/KwAVBcYZ,,,http://opaquenamespace.org/ns/osuAcademicUnits/KwAVBcYZ,
Home Management,1973,http://opaquenamespace.org/ns/osuAcademicUnits/KwAVBcYZ,,,http://opaquenamespace.org/ns/osuAcademicUnits/KwAVBcYZ,
Home Management,1974,http://opaquenamespace.org/ns/osuAcademicUnits/KwAVBcYZ,,,http://opaquenamespace.org/ns/osuAcademicUnits/KwAVBcYZ,
Home Management,1975,http://opaquenamespace.org/ns/osuAcademicUnits/KwAVBcYZ,,,http://opaquenamespace.org/ns/osuAcademicUnits/KwAVBcYZ,
Home Management,1976,http://opaquenamespace.org/ns/osuAcademicUnits/KwAVBcYZ,,,http://opaquenamespace.org/ns/osuAcademicUnits/KwAVBcYZ,
Home Management,1977,http://opaquenamespace.org/ns/osuAcademicUnits/KwAVBcYZ,,,http://opaquenamespace.org/ns/osuAcademicUnits/KwAVBcYZ,
Home Management,1978,http://opaquenamespace.org/ns/osuAcademicUnits/KwAVBcYZ,,,http://opaquenamespace.org/ns/osuAcademicUnits/KwAVBcYZ,
Horticultural Products,1920,NO URIS FOUND FOR THIS DEGREE AND YEAR,Horticulture,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticultural Products,1935,NO URIS FOUND FOR THIS DEGREE AND YEAR,Horticulture,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticultural Products,1936,NO URIS FOUND FOR THIS DEGREE AND YEAR,Horticulture,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture, ,MISSING GRADUATION YEAR,,,,
Horticulture,1909,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1912,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1914,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1915,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1916,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1917,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1920,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1921,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1923,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1924,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1926,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1929,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1930,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1931,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1932,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1933,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1934,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1935,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1937,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1938,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1939,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1940,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1941,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1942,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1946,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1949,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1950,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1952,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1954,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1955,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1956,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1957,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1958,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1959,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1960,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1961,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1963,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1964,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1966,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1967,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1968,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1969,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1970,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1971,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1972,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1973,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1974,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1975,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1976,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1977,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1978,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1979,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1980,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1981,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1982,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1983,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1984,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1985,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1986,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1987,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1988,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1989,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1990,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1991,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1992,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1993,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1994,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1995,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1996,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1997,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1998,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,1999,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,2000,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,2001,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,2002,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,2003,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,2004,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,2005,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,2006,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,2007,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,2008,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,2009,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,2010,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,2011,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,2012,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,2013,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,2014,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,2015,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,2016,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,,,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Horticulture,2017,NO URIS FOUND FOR THIS DEGREE AND YEAR,Horticulture,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,http://opaquenamespace.org/ns/osuAcademicUnits/inTyJwgq,
Household Administration,1928,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,,,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,
Household Administration,1929,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,,,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,
Household Administration,1931,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,,,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,
Household Administration,1932,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,,,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,
Household Administration,1933,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,,,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,
Household Administration,1934,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,,,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,
Household Administration,1935,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,,,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,
Household Administration,1936,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,,,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,
Household Administration,1937,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,,,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,
Household Administration,1938,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,,,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,
Household Administration,1939,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,,,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,
Household Administration,1940,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,,,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,
Household Administration,1942,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,,,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,
Household Administration,1943,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,,,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,
Household Administration,1944,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,,,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,
Household Administration,1945,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,,,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,
Household Administration,1946,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,,,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,
Household Administration,1947,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,,,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,
Household Administration,1948,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,,,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,
Household Administration,1949,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,,,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,
Household Administration,1950,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,,,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,
Household Adminstration,1944,NO URIS FOUND FOR THIS DEGREE AND YEAR,Household Administration,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,http://opaquenamespace.org/ns/osuAcademicUnits/eCnQaHj0,
Household Arts,1928,NO URIS FOUND FOR THIS DEGREE AND YEAR,Household Art,http://opaquenamespace.org/ns/osuAcademicUnits/GFVkvlRp,http://opaquenamespace.org/ns/osuAcademicUnits/GFVkvlRp,
Household Science,1908,NO URIS FOUND FOR THIS DEGREE AND YEAR,Household Science,http://opaquenamespace.org/ns/osuAcademicUnits/f4wHYMg8,http://opaquenamespace.org/ns/osuAcademicUnits/f4wHYMg8,
Household Science,1920,http://opaquenamespace.org/ns/osuAcademicUnits/f4wHYMg8,,,http://opaquenamespace.org/ns/osuAcademicUnits/f4wHYMg8,
Human Development,2004,NO URIS FOUND FOR THIS DEGREE AND YEAR,Human Development and Family Sciences,http://opaquenamespace.org/ns/osuAcademicUnits/Bv4LJqPh,http://opaquenamespace.org/ns/osuAcademicUnits/Bv4LJqPh,
Human Development,2005,NO URIS FOUND FOR THIS DEGREE AND YEAR,Human Development and Family Sciences,http://opaquenamespace.org/ns/osuAcademicUnits/Bv4LJqPh,http://opaquenamespace.org/ns/osuAcademicUnits/Bv4LJqPh,
Human Development and Family Sciences, ,MISSING GRADUATION YEAR,,,,
Human Development and Family Sciences,1996,http://opaquenamespace.org/ns/osuAcademicUnits/Bv4LJqPh,,,http://opaquenamespace.org/ns/osuAcademicUnits/Bv4LJqPh,
Human Development and Family Sciences,2017,NO URIS FOUND FOR THIS DEGREE AND YEAR,,,,
Human Development and Family Studies,1982,NO URIS FOUND FOR THIS DEGREE AND YEAR,,,,
Human Development and Family Studies,1983,http://opaquenamespace.org/ns/osuAcademicUnits/SX6oloDl,,,http://opaquenamespace.org/ns/osuAcademicUnits/SX6oloDl,
Human Development and Family Studies,1984,http://opaquenamespace.org/ns/osuAcademicUnits/SX6oloDl,,,http://opaquenamespace.org/ns/osuAcademicUnits/SX6oloDl,
Human Development and Family Studies,1985,http://opaquenamespace.org/ns/osuAcademicUnits/SX6oloDl,,,http://opaquenamespace.org/ns/osuAcademicUnits/SX6oloDl,
Human Development and Family Studies,1986,http://opaquenamespace.org/ns/osuAcademicUnits/SX6oloDl,,,http://opaquenamespace.org/ns/osuAcademicUnits/SX6oloDl,
Human Development and Family Studies,1987,http://opaquenamespace.org/ns/osuAcademicUnits/SX6oloDl,,,http://opaquenamespace.org/ns/osuAcademicUnits/SX6oloDl,
Human Development and Family Studies,1988,http://opaquenamespace.org/ns/osuAcademicUnits/SX6oloDl,,,http://opaquenamespace.org/ns/osuAcademicUnits/SX6oloDl,
Human Development and Family Studies,1989,http://opaquenamespace.org/ns/osuAcademicUnits/SX6oloDl,,,http://opaquenamespace.org/ns/osuAcademicUnits/SX6oloDl,
Human Development and Family Studies,1990,http://opaquenamespace.org/ns/osuAcademicUnits/SX6oloDl,,,http://opaquenamespace.org/ns/osuAcademicUnits/SX6oloDl,
Human Development and Family Studies,1991,NO URIS FOUND FOR THIS DEGREE AND YEAR,Human Development and Family Sciences,http://opaquenamespace.org/ns/osuAcademicUnits/Bv4LJqPh,http://opaquenamespace.org/ns/osuAcademicUnits/Bv4LJqPh,
Human Development and Family Studies,1992,NO URIS FOUND FOR THIS DEGREE AND YEAR,Human Development and Family Sciences,http://opaquenamespace.org/ns/osuAcademicUnits/Bv4LJqPh,http://opaquenamespace.org/ns/osuAcademicUnits/Bv4LJqPh,
Human Development and Family Studies,1993,NO URIS FOUND FOR THIS DEGREE AND YEAR,Human Development and Family Sciences,http://opaquenamespace.org/ns/osuAcademicUnits/Bv4LJqPh,http://opaquenamespace.org/ns/osuAcademicUnits/Bv4LJqPh,
Human Development and Family Studies,1994,NO URIS FOUND FOR THIS DEGREE AND YEAR,Human Development and Family Sciences,http://opaquenamespace.org/ns/osuAcademicUnits/Bv4LJqPh,http://opaquenamespace.org/ns/osuAcademicUnits/Bv4LJqPh,
Human Development and Family Studies,1995,NO URIS FOUND FOR THIS DEGREE AND YEAR,Human Development and Family Sciences,http://opaquenamespace.org/ns/osuAcademicUnits/Bv4LJqPh,http://opaquenamespace.org/ns/osuAcademicUnits/Bv4LJqPh,
